CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE
SCA2,Athurugiriya 2,"No. 175/12, Malambe Road, Athurugiriya",6.8723185,80.0003875,Keels,3/3/2025
SCAR,Arangala,"No. 730, Malabe Road, Arangala, Athurugiriya",6.8860799,79.9626354,Keels,3/3/2025
SCBL,Boralasgomuwa,"No. 105/1, Kesbewa Road, Katuwala, Boralasgomuwa",6.8525143,79.8976618,Keels,3/3/2025
SCCC,Crescat,"No. 89, Crescat Boulevard, Galle Road, Colombo 03",6.9171044,79.8481871,Keels,3/3/2025
SCCM,Thalawathugoda,"No. 531, Capital Mall, Madiwela Road, Thalawathugoda",6.8733711,79.9171546,Keels,3/3/2025
SCDE,Dehiwala,"No. 268, Sir D.B. Jayathilake Mawatha, (Hill Street), Dehiwala",6.8501667,79.8725682,Keels,3/3/2025
SCED,Embuldeniya,"No. 303, Old Kottawa Road, Embuldeniya",6.8675496,79.9100845,Keels,3/3/2025
SCGS,Gamsabha,"No.315,High level road,Gangodawila,Nugegoda",6.8693128,79.8894317,Keels,3/3/2025
SCHG,Homagama,"No. 375/10A, Highlevel Road, Makumbura, Pannipitiya",6.838935,79.9784204,Keels,3/3/2025
SCHR,Havelock Road,"No. 228, Havelock Road, Colombo 05",6.8872296,79.8647003,Keels,3/3/2025
SCKE,Kotahena,"No. 01, Bonjeang Road, Colombo 13",6.9481824,79.8615896,Keels,3/3/2025
SCKH,Kohuwala,"No. 135, Dutugemunu Mawatha, Kohuwala",6.8798307,79.9029517,Keels,3/3/2025
SCKL,Kalubowila,"No. 53, Hospital Road , Kalubowila, Dehiwala",6.8660607,79.8753067,Keels,3/3/2025
SCKO,Kotte,"No. 581, Kotte Road , Pitakotte",6.8845527,79.9019512,Keels,3/3/2025
SCM2,Moratuwa Mall,"No. 340, K- Zone, Lakshapathiya, Moratuwa",6.7998133,79.8842826,Keels,3/3/2025
SCM3,Maharagama 2,"No. 184, Dehiwala Road, Maharagama",6.8423416,79.91794,Keels,3/3/2025
SCMD,Marine Drive,"No. 35, Upathissa Road, Bambalapitiya, Colombo 04",6.8896173,79.8553873,Keels,3/3/2025
SCMG,Maharagama,"No. 226, High Level Road, Maharagama",6.8496658,79.9235834,Keels,3/3/2025
SCML,Mount Lavinia,"No. 388/A, Galle Road, Mount Lavinia",6.8647757,79.8632349,Keels,3/3/2025
SCNW,Nawala,"No. 459, Nawala Road, Rajagiriya",6.9059941,79.894945,Keels,3/3/2025
SCPK,Pitakotte,"No. 216 A, Thalawathugoda Road, Pitakotte",6.8802431,79.9475213,Keels,3/3/2025
SCPN,Pannipitiya,"No. 361, Highlevel Road, Pannipitiya",6.8435174,79.9581664,Keels,3/3/2025
SCPT,Pittugala ,"No. 296, Kaduwela Road, Pittugala, Malambe ",6.9087426,79.9436659,Keels,3/3/2025
SCPY,Kohuwala 2,"No. 71, Sunethradevi Road, Kohuwala",6.8638002,79.8875011,Keels,3/3/2025
SCRJ,Rajagiriya 2,"No. 522, Kotte Road, Rajagiriya",6.9103636,79.8936349,Keels,3/3/2025
SCRM,Rathmalana,"No. 413, Galle Road, Rathmalana",6.816062,79.8769278,Keels,3/3/2025
SCRT,Raththanapitiya,"No. 235, Horana Road, Raththanapitya, Boralasgamuwa",6.8414636,79.9014475,Keels,3/3/2025
SCSJ,Rajagiriya,"No. 475, Sri Jayawardenapura Road, Rajagiriya",6.9094108,79.8942538,Keels,3/3/2025
SCTB,Thimbirigasyaya,"No. 407, Thimbirigasyaya Road, Colombo 05",6.8936437,79.8704269,Keels,3/3/2025
SCTH,Thalahena,"No. 427, Kaduwela Road, Thalahena",6.9082532,79.9447799,Keels,3/3/2025
SCUP,Union Place,"No. 199, Union Place, Colombo 2",6.9197379,79.8589027,Keels,3/3/2025
SCWJ,Wijerama,"No. 4 & 6, Soratha Mawatha, Nugegoda",6.8549219,79.9064625,Keels,3/3/2025
SFGL,Galle,"No. 46, Colombo Road, Kaluwella, Galle",6.0328817,80.2152229,Keels,3/3/2025
SGKB,Kiribathgoda,"No. 94, Makola Road, Kiribathgoda",6.9773951,79.9296825,Keels,3/3/2025
SGKY,Kelaniya,"No: 690, Biyagama Road, Pilapitiya, Kelaniya",6.9512173,79.9078132,Keels,3/3/2025
SGMH,Welisara,"No: 812, Negombo Road, Mahabage",7.0243153,79.899739,Keels,3/3/2025
SGWA,Wattala 2,"No. 384, Negombo Road, Wattala",6.9887181,79.8913253,Keels,3/3/2025
SIP2,Panadura 2,"No. 161, Galle Road, Walana, Panadura",6.4190267,80.0024827,Keels,3/3/2025
SKK2,Kandy 2,"No. 489, William Gopallawa Mawatha, Kandy",7.279561,80.6198891,Keels,3/3/2025
SKKA,Kandy,"City Centre Compex, Level 1, L1 -14, Kandy (Pvt) Ltd, Kandy",7.2905715,80.6337262,Keels,3/3/2025
SMMR,Matara,"No. 227, Anagarika Dharmapala Mawatha, Nupe, Matara",5.9478241,80.5344474,Keels,3/3/2025
SCK3,Kottawa 3,"No. 139, Athurugiriya Road, Kottawa",6.8441906,79.9686816,Keels,3/3/2025
SCTG,Thalawathugoda 2,"No. 158, Pannipitiya Road, Thalawathugoda",6.8749467,79.9364678,Keels,3/3/2025
SGKR,Kerawalapitiya,"No. 315, Handala Road, Wattala",6.9906677,79.8931709,Keels,3/3/2025
SRRP,Rathnapura,"No. 09, Panadura Road, Moragahayata, Rathnapura",6.6993724,80.379375,Keels,3/3/2025
SGEM,Enderamulla,"No. 75A, Enderamulla, Wattala",6.9977837,79.9189814,Keels,3/3/2025
SGKG,Kiribathgoda 2,"No. 197, Kandy Road, Kiribathgoda",6.9786855,79.9277,Keels,3/3/2025
SFGA,Galle 2,"No. 465,Wackwella Road, Kalegana, Galle",6.0599745,80.2021933,Keels,3/3/2025
SIKS,Kaluthara,"No. 735, Galle Road, Wettumakada, Kauthara South, Kaluthara",6.5654599,79.9676493,Keels,3/3/2025
SCET,Edmonton,"No. 25, Edmonton Road, Colombo - 5",6.8792387,79.8764553,Keels,3/3/2025
SGTY,Tyre Junction,"No. 498, Kandy Road, Dalugama, Kelaniya",6.9736276,79.9208395,Keels,3/3/2025
SCMW,Moratuwa 3,"No. 16, St Peters Road, Moratuwa",6.7684114,79.8868727,Keels,3/3/2025
SNRU,Kurunegala 02,"No. 41, Bauddhaloka Mawatha, Kurunegala",7.4832133,80.3587461,Keels,3/3/2025
SCKZ,Kesbewa,"No. 220/1, Bandaragama Road, Kasbewa",6.7919378,79.9300883,Keels,3/3/2025
SIBE,Beruwala,"No. 167, Galle road, Beruwala",6.4730375,79.984256,Keels,3/3/2025
SGRA,Ragama,"No. 968, Mahabage Road, Ragama",7.0270252,79.9150162,Keels,3/3/2025
SCGT,Gothatuwa,"No. 215, IDH Road, Gohtatuwa",6.9278516,79.9106324,Keels,3/3/2025
SMMS,Matara 2,"No 361, Welewatta Matara.",5.9471016,80.5625956,Keels,3/3/2025
SCAD,Attidiya 02,"208, Aththidiya Road, Bellanthotha",6.846864,79.8851625,Keels,3/3/2025
SIP4,Panadura 03,"267, Horana Road, Wekada, Panadura",6.7096021,79.9210634,Keels,3/3/2025
SYMT,Matale,"11, Nagolla Road, Mathale",7.452174,80.6133841,Keels,3/3/2025
SGGP,Gampaha 2,"125, Colombo Road, Gampaha",7.0849349,80.0087892,Keels,3/3/2025
SCGO,Godagama,"551, Highlevel Road, Homagama",6.8444164,80.0065919,Keels,3/3/2025
SGKC,Kochchikade,"21, Negembo Road, Kochchikade",7.091585,79.8884605,Keels,3/3/2025
SINL,Nalluruwa,"735, Galle Road, Nalluruwa, Panadura.",6.4190267,80.0024827,Keels,3/3/2025
SIAL,Aluthgama,"Ruwangiri”, Kaluwamodara, Galle Road, Aluthgama.",6.4425457,79.9922648,Keels,3/3/2025
SCWP,Wellampitiya,"230, Avissawella Road, Wellampitiya.",6.9319982,79.907722,Keels,3/3/2025
SCPI,Piliyandala,"242, Colombo Road, Miriswatta, Piliyandala",6.8017575,79.9227313,Keels,3/3/2025
SLKV,Kegall,"No. 461, Kandy road, Kegalle.",7.2532238,80.3454101,Keels,3/3/2025
SGMI,Minuwangoda,"No.28, Veyangoda Road, Minuwangoda.",7.1694282,79.9520782,Keels,3/3/2025
